success,size,topic,acks,compression,inflight,batch,linger,time,rate,latency
1,8192,test-snappy,-1,snappy,5,524288,300,1944,217.13,187.18
1,8192,test-snappy,-1,snappy,5,524288,500,2010,201.57,219.21
1,8192,test-snappy,-1,snappy,5,524288,700,2050,195.87,197.23
1,8192,test-snappy,-1,snappy,5,524288,1000,1936,213.87,197.64
1,8192,test-snappy,-1,snappy,5,1048576,0,2051,195.72,171.61
1,8192,test-snappy,-1,snappy,5,1048576,20,2009,205.29,157.22
1,8192,test-snappy,-1,snappy,5,1048576,50,1999,204.15,166.26
1,8192,test-snappy,-1,snappy,5,1048576,100,1994,205.29,155.59
1,8192,test-snappy,-1,snappy,5,1048576,150,2093,189.35,175.42
1,8192,test-snappy,-1,snappy,5,1048576,200,2084,190.90,173.62
1,8192,test-snappy,-1,snappy,5,1048576,300,1992,204.15,151.27
1,8192,test-snappy,-1,snappy,5,1048576,500,1947,214.77,144.10
1,8192,test-snappy,-1,snappy,5,1048576,700,2027,202.85,164.48
1,8192,test-snappy,-1,snappy,5,1048576,1000,2037,197.68,169.16
1,8192,test-snappy,-1,snappy,5,2097152,0,2181,178.03,168.77
1,8192,test-snappy,-1,snappy,5,2097152,20,1968,208.81,126.96
1,8192,test-snappy,-1,snappy,5,2097152,50,2001,202.85,131.01
1,8192,test-snappy,-1,snappy,5,2097152,100,1958,213.87,123.81
1,8192,test-snappy,-1,snappy,5,2097152,150,1965,213.87,120.19
1,8192,test-snappy,-1,snappy,5,2097152,200,1991,206.79,121.52
1,8192,test-snappy,-1,snappy,5,2097152,300,2053,198.45,139.22
1,8192,test-snappy,-1,snappy,5,2097152,500,2057,194.09,140.47
1,8192,test-snappy,-1,snappy,5,2097152,700,2105,188.79,149.81
1,8192,test-snappy,-1,snappy,5,2097152,1000,2040,197.53,138.36
1,8192,test-snappy,-1,snappy,5,4194304,0,2479,149.36,312.53
1,8192,test-snappy,-1,snappy,5,4194304,20,2208,174.51,145.19
1,8192,test-snappy,-1,snappy,5,4194304,50,2112,187.55,117.45
1,8192,test-snappy,-1,snappy,5,4194304,100,2089,190.19,126.88
1,8192,test-snappy,-1,snappy,5,4194304,150,2087,190.48,130.36
1,8192,test-snappy,-1,snappy,5,4194304,200,2028,200.16,121.48
1,8192,test-snappy,-1,snappy,5,4194304,300,2131,185.64,120.05
1,8192,test-snappy,-1,snappy,5,4194304,500,2148,181.82,137.36
1,8192,test-snappy,-1,snappy,5,4194304,700,2182,180.03,137.75
1,8192,test-snappy,-1,snappy,5,4194304,1000,2001,203.82,116.28
1,8192,test-snappy,-1,snappy,5,8388608,0,3204,104.15,267.39
1,8192,test-snappy,-1,snappy,5,8388608,20,2106,190.05,120.53
1,8192,test-snappy,-1,snappy,5,8388608,50,2349,159.60,148.36
1,8192,test-snappy,-1,snappy,5,8388608,100,2166,180.15,127.30
1,8192,test-snappy,-1,snappy,5,8388608,150,2323,163.89,143.15
1,8192,test-snappy,-1,snappy,5,8388608,200,2461,148.49,163.80
1,8192,test-snappy,-1,snappy,5,8388608,300,2269,167.32,127.71
1,8192,test-snappy,-1,snappy,5,8388608,500,2151,182.08,120.31
1,8192,test-snappy,-1,snappy,5,8388608,700,2187,176.67,135.05
1,8192,test-snappy,-1,snappy,5,8388608,1000,2346,162.33,147.92
1,8192,test-snappy,0,snappy,1,0,0,3200,104.32,214.45
1,8192,test-snappy,0,snappy,1,0,20,3891,81.50,319.67
1,8192,test-snappy,0,snappy,1,0,50,3876,82.39,318.63
1,8192,test-snappy,0,snappy,1,0,100,3163,107.16,219.92
1,8192,test-snappy,0,snappy,1,0,150,3177,106.80,202.23
1,8192,test-snappy,0,snappy,1,0,200,3203,104.11,234.52
1,8192,test-snappy,0,snappy,1,0,300,3859,82.26,317.50
1,8192,test-snappy,0,snappy,1,0,500,3892,82.02,317.27
1,8192,test-snappy,0,snappy,1,0,700,3186,106.05,225.50
1,8192,test-snappy,0,snappy,1,0,1000,3143,107.02,224.86
1,8192,test-snappy,0,snappy,1,512,0,3181,104.96,207.44
1,8192,test-snappy,0,snappy,1,512,20,3915,81.14,321.36
1,8192,test-snappy,0,snappy,1,512,50,3191,106.05,226.20
1,8192,test-snappy,0,snappy,1,512,100,3121,107.79,222.83
1,8192,test-snappy,0,snappy,1,512,150,3857,82.29,318.47
1,8192,test-snappy,0,snappy,1,512,200,3877,82.37,316.81
1,8192,test-snappy,0,snappy,1,512,300,3159,107.34,221.85
1,8192,test-snappy,0,snappy,1,512,500,3141,107.97,217.85
1,8192,test-snappy,0,snappy,1,512,700,3163,107.02,200.89
1,8192,test-snappy,0,snappy,1,512,1000,3141,107.25,220.18
1,8192,test-snappy,0,snappy,1,1024,0,3118,108.06,221.35
1,8192,test-snappy,0,snappy,1,1024,20,3915,81.66,318.24
1,8192,test-snappy,0,snappy,1,1024,50,3163,106.84,200.86
1,8192,test-snappy,0,snappy,1,1024,100,3157,106.71,202.41
1,8192,test-snappy,0,snappy,1,1024,150,3864,82.02,318.97
1,8192,test-snappy,0,snappy,1,1024,200,3894,81.48,321.65
1,8192,test-snappy,0,snappy,1,1024,300,3177,105.26,227.06
